serial,refactoring,project,commit,url
61,Rename  class,Springframework,"4aeeacb4c2
",https://github.com/spring-projects/spring-framework/commit/4aeeacb4c2
62,Rename  class,Springframework,8eb524dc4d,https://github.com/spring-projects/spring-framework/commit/8eb524dc4d
63,Rename  class,Springframework,"fd5b0e144d
",https://github.com/spring-projects/spring-framework/commit/fd5b0e144d
64,Rename method,Springframework,"81c156eefb
",https://github.com/spring-projects/spring-framework/commit/81c156eefb
65,Rename method,Springframework,"9d28fe90f5
",https://github.com/spring-projects/spring-framework/commit/9d28fe90f5
66,Rename method,Springframework,"a481c7649f
",https://github.com/spring-projects/spring-framework/commit/a481c7649f
67,Rename method,Springframework,"e7cf54d4e2
",https://github.com/spring-projects/spring-framework/commit/e7cf54d4e2
68,Rename method,Springframework,"ebfa009f18
",https://github.com/spring-projects/spring-framework/commit/ebfa009f18
69,Rename parameter,Springframework,"09b1e5edf6
",https://github.com/spring-projects/spring-framework/commit/09b1e5edf6
70,Rename parameter,Springframework,"5c574b9878
",https://github.com/spring-projects/spring-framework/commit/5c574b9878
71,Rename variable,Springframework,59c65fa940,https://github.com/spring-projects/spring-framework/commit/59c65fa940
72,Rename variable,Springframework,"c559ec4dfb
",https://github.com/spring-projects/spring-framework/commit/c559ec4dfb
73,Rename variable,Springframework,"ff9c7141c5
",https://github.com/spring-projects/spring-framework/commit/ff9c7141c5
74,Replace customized methods with API,Springframework,"d96a63944c
",https://github.com/spring-projects/spring-framework/commit/d96a63944c
75,Replace duplicated method,Springframework,"bcf11e8919
",https://github.com/spring-projects/spring-framework/commit/bcf11e8919
76,Replace if with switch,Springframework,"3c5d46166e
",https://github.com/spring-projects/spring-framework/commit/3c5d46166e
77,Replace if with switch,Springframework,"cfa3aa001f
",https://github.com/spring-projects/spring-framework/commit/cfa3aa001f
78,Replace inheritance with delegation,Springframework,"a481c7649f
",https://github.com/spring-projects/spring-framework/commit/a481c7649f
79,Replace iteration based retrieval with switch expression,Springframework,"bcff7d74cd
",https://github.com/spring-projects/spring-framework/commit/bcff7d74cd
80,Replace iteration based retrieval with switch expression,Springframework,"bcff7d74cd
",https://github.com/spring-projects/spring-framework/commit/bcff7d74cd
81,Reverse if condition logic,Springframework,"ce43d1b1da
",https://github.com/spring-projects/spring-framework/commit/ce43d1b1da
82,Reverse if condition logic,Springframework,"ce43d1b1da
",https://github.com/spring-projects/spring-framework/commit/ce43d1b1da
83,Reverse if condition logic,Springframework,"ce43d1b1da
",https://github.com/spring-projects/spring-framework/commit/ce43d1b1da
84,Turn local variable into field,Springframework,"35372e5e72
",https://github.com/spring-projects/spring-framework/commit/35372e5e72
