serial,refactoring,project,commit,url
93,Rename method,Elasticsearch,"1b2e8cf5a2b
",https://github.com/elastic/elasticsearch/commit/1b2e8cf5a2b
94,Rename method,Elasticsearch,"1c03489f469
",https://github.com/elastic/elasticsearch/commit/1c03489f469
95,Rename method,Elasticsearch,"2b175653d9f
",https://github.com/elastic/elasticsearch/commit/2b175653d9f
96,Rename method,Elasticsearch,"50090f1a9c0
",https://github.com/elastic/elasticsearch/commit/50090f1a9c0
97,Rename method,Elasticsearch,"5cf8b94f300
",https://github.com/elastic/elasticsearch/commit/5cf8b94f300
98,Rename method,Elasticsearch,"680774e7f27
",https://github.com/elastic/elasticsearch/commit/680774e7f27
99,Rename method,Elasticsearch,"8582a18817e
",https://github.com/elastic/elasticsearch/commit/8582a18817e
100,Rename method,Elasticsearch,"d65461d7fbb
",https://github.com/elastic/elasticsearch/commit/d65461d7fbb
101,Rename parameter,Elasticsearch,"5c1e3e2c919
",https://github.com/elastic/elasticsearch/commit/5c1e3e2c919
102,Rename parameter,Elasticsearch,"9f2d38856d3
",https://github.com/elastic/elasticsearch/commit/9f2d38856d3
103,Rename parameter,Elasticsearch,"b328982e373
",https://github.com/elastic/elasticsearch/commit/b328982e373
104,Rename parameter,Elasticsearch,e23852736ef,https://github.com/elastic/elasticsearch/commit/e23852736ef
105,Rename variable,Elasticsearch,"680774e7f27
",https://github.com/elastic/elasticsearch/commit/680774e7f27
106,Rename variable,Elasticsearch,"8582a18817e
",https://github.com/elastic/elasticsearch/commit/8582a18817e
107,Rename variable,Elasticsearch,"8773a1208ba
",https://github.com/elastic/elasticsearch/commit/8773a1208ba
108,Replace anonymous class with lambda expression,Elasticsearch,"a5aae93b652
",https://github.com/elastic/elasticsearch/commit/a5aae93b652
109,Replace collection.sort() with list.sort(),Elasticsearch,"850e88c5894
",https://github.com/elastic/elasticsearch/commit/850e88c5894
110,Replace collection.sort() with list.sort(),Elasticsearch,850e88c5894,https://github.com/elastic/elasticsearch/commit/850e88c5894
111,Replace duplicated constant field,Elasticsearch,"9e5fbf6021a
",https://github.com/elastic/elasticsearch/commit/9e5fbf6021a
112,Replace duplicated method,Elasticsearch,"df8202206a8
",https://github.com/elastic/elasticsearch/commit/df8202206a8
113,Replace for loop with foreach,Elasticsearch,"850e88c5894
",https://github.com/elastic/elasticsearch/commit/850e88c5894
114,Replace for loop with foreach,Elasticsearch,850e88c5894,https://github.com/elastic/elasticsearch/commit/850e88c5894
115,Replace for with while,Elasticsearch,"cd38c3a28d4
",https://github.com/elastic/elasticsearch/commit/cd38c3a28d4
116,Replace for with while,Elasticsearch,"cd38c3a28d5
",https://github.com/elastic/elasticsearch/commit/cd38c3a28d5
117,Replace inner class with lambda expression,Elasticsearch,"a5aae93b652
",https://github.com/elastic/elasticsearch/commit/a5aae93b652
118,Replace lambdas with method references,Elasticsearch,"f5f0cd25572
",https://github.com/elastic/elasticsearch/commit/f5f0cd25572
119,Replace method with method object,Elasticsearch,"2b03368639b
",https://github.com/elastic/elasticsearch/commit/2b03368639b
120,Replace wrapper object with primitive,Elasticsearch,"850e88c5894
",https://github.com/elastic/elasticsearch/commit/850e88c5894
121,Replace wrapper object with primitive,Elasticsearch,"850e88c5894
",https://github.com/elastic/elasticsearch/commit/850e88c5894
122,Replace wrapper object with primitive,Elasticsearch,"850e88c5894
",https://github.com/elastic/elasticsearch/commit/850e88c5894
