serial,refactoring,project,commit,url
77,Remove duplicate code,Junit4,"39545426
",https://github.com/junit-team/junit4/commit/39545426
78,Remove duplicate code,Junit4,"787ed4e5
",https://github.com/junit-team/junit4/commit/787ed4e5
79,Remove duplicate code,Junit4,7c94e33e,https://github.com/junit-team/junit4/commit/7c94e33e
80,Remove duplicate code,Junit4,"fbb1efed
",https://github.com/junit-team/junit4/commit/fbb1efed
81,Remove parameter ,Junit4,1d0688f5,https://github.com/junit-team/junit4/commit/1d0688f5
82,Remove parameter ,Junit4,9d3821f6,https://github.com/junit-team/junit4/commit/9d3821f6
83,Remove parameter modifier,Junit4,dca4a949,https://github.com/junit-team/junit4/commit/dca4a949
84,Remove suppress warning annotation,Junit4,"3d535e08
",https://github.com/junit-team/junit4/commit/3d535e08
85,Remove suppress warning annotation,Junit4,"3d535e08
",https://github.com/junit-team/junit4/commit/3d535e08
86,Remove unnecessary array creation,Junit4,"17a2f117
",https://github.com/junit-team/junit4/commit/17a2f117
87,Remove unnecessary extends clause,Junit4,"9a0aec8f
",https://github.com/junit-team/junit4/commit/9a0aec8f
88,Remove unused field,Junit4,"395e144b
",https://github.com/junit-team/junit4/commit/395e144b
89,Remove unused method,Junit4,"ac8987f3
",https://github.com/junit-team/junit4/commit/ac8987f3
90,Remove unused parameter ,Junit4,"10389dda
",https://github.com/junit-team/junit4/commit/10389dda
91,Remove unused parameter ,Junit4,afbeeb31,https://github.com/junit-team/junit4/commit/afbeeb31
92,Remove unused variable,Junit4,"039f6e81
",https://github.com/junit-team/junit4/commit/039f6e81
93,Remove unused variable,Junit4,"039f6e81
",https://github.com/junit-team/junit4/commit/039f6e81
94,Rename  class,Junit4,"40cc52cf
",https://github.com/junit-team/junit4/commit/40cc52cf
95,Rename class,Junit4,"35f5f3a7
",https://github.com/junit-team/junit4/commit/35f5f3a7
96,Rename class,Junit4,"8226e3e6
",https://github.com/junit-team/junit4/commit/8226e3e6
97,Rename class,Junit4,"fc7d4be8
",https://github.com/junit-team/junit4/commit/fc7d4be8
98,Rename field,Junit4,"86b9346e
",https://github.com/junit-team/junit4/commit/86b9346e
99,Rename field,Junit4,"86b9346e
",https://github.com/junit-team/junit4/commit/86b9346e
100,Rename method,Junit4,"1963b424
",https://github.com/junit-team/junit4/commit/1963b424
101,Rename method,Junit4,"394e199f
",https://github.com/junit-team/junit4/commit/394e199f
102,Rename method,Junit4,"706c38a8
",https://github.com/junit-team/junit4/commit/706c38a8
103,Rename method,Junit4,c07965ab,https://github.com/junit-team/junit4/commit/c07965ab
104,Rename parameter,Junit4,2bf3509d,https://github.com/junit-team/junit4/commit/2bf3509d
105,Rename parameter,Junit4,"3791a960
",https://github.com/junit-team/junit4/commit/3791a960
106,Rename parameter,Junit4,4081076e,https://github.com/junit-team/junit4/commit/4081076e
107,Rename parameter,Junit4,6f685561,https://github.com/junit-team/junit4/commit/6f685561
108,Rename parameter,Junit4,9f87b781,https://github.com/junit-team/junit4/commit/9f87b781
109,Rename variable,Junit4,"a068272d
",https://github.com/junit-team/junit4/commit/a068272d
110,Rename variable,Junit4,"a068272d
",https://github.com/junit-team/junit4/commit/a068272d
111,Replace  HashMap with linked HashMap,Junit4,"c75dcc28
",https://github.com/junit-team/junit4/commit/c75dcc28
112,Replace array with primitive array,Junit4,"b052c712
",https://github.com/junit-team/junit4/commit/b052c712
113,Replace array with singleton list,Junit4,"17a2f117
",https://github.com/junit-team/junit4/commit/17a2f117
114,Replace expected attributed with try catch,Junit4,"df016dc0
",https://github.com/junit-team/junit4/commit/df016dc0
115,Replace for loop with foreach,Junit4,"4c6975f9
",https://github.com/junit-team/junit4/commit/4c6975f9
116,Replace for loop with foreach,Junit4,"4c6975f9
",https://github.com/junit-team/junit4/commit/4c6975f9
117,Replace method with method object,Junit4,"a68b42ca
",https://github.com/junit-team/junit4/commit/a68b42ca
118,Split method,Junit4,"b403288c
",https://github.com/junit-team/junit4/commit/b403288c
119,Split package,Junit4,"576377b9
",https://github.com/junit-team/junit4/commit/576377b9
